i_id,j_id,date,svc,period,hours,bundle_id,score,per_hour_utility,slot_type
3,20260105-PICU-DAY-02,2026-01-05,PICU,Day,10.0,PICU_day_W02_full,9.399999999997673,0.9399999999997674,bundle
3,20260105-PICU-NIGHT-03,2026-01-05,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260105-Sedation-DAY-04,2026-01-05,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260106-PCICU-NIGHT-02,2026-01-06,PCICU,Night,16.0,,6.062467281810889,0.37890420511318057,individual
3,20260106-PICU-DAY-03,2026-01-06,PICU,Day,10.0,PICU_day_W02_full,9.399999999997673,0.9399999999997674,bundle
3,20260106-PICU-NIGHT-04,2026-01-06,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260106-Sedation-DAY-05,2026-01-06,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260106-Smilow-DAY-06,2026-01-06,Smilow,Day,4.0,,9.4,2.35,individual
3,20260107-PICU-DAY-02,2026-01-07,PICU,Day,10.0,PICU_day_W02_full,9.399999999997673,0.9399999999997674,bundle
3,20260107-PICU-NIGHT-03,2026-01-07,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260107-Sedation-DAY-04,2026-01-07,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260108-PICU-DAY-03,2026-01-08,PICU,Day,10.0,PICU_day_W02_full,9.399999999997673,0.9399999999997674,bundle
3,20260108-PICU-NIGHT-04,2026-01-08,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260108-Sedation-DAY-05,2026-01-08,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260109-PICU-DAY-02,2026-01-09,PICU,Day,10.0,PICU_day_W02_full,9.399999999997673,0.9399999999997674,bundle
3,20260109-PICU-NIGHT-03,2026-01-09,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260109-Sedation-DAY-04,2026-01-09,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260111-PICU-24H-02,2026-01-11,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260112-PICU-NIGHT-03,2026-01-12,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260112-Sedation-DAY-04,2026-01-12,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260113-PICU-NIGHT-04,2026-01-13,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260113-Sedation-DAY-05,2026-01-13,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260113-Smilow-DAY-06,2026-01-13,Smilow,Day,4.0,,9.4,2.35,individual
3,20260114-PICU-NIGHT-03,2026-01-14,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260114-Sedation-DAY-04,2026-01-14,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260115-PICU-NIGHT-04,2026-01-15,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260115-Sedation-DAY-05,2026-01-15,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260116-PICU-NIGHT-03,2026-01-16,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260116-Sedation-DAY-04,2026-01-16,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260117-PICU-24H-02,2026-01-17,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260118-PICU-24H-02,2026-01-18,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260119-PICU-DAY-02,2026-01-19,PICU,Day,10.0,PICU_day_W04_full,9.399999999997673,0.9399999999997674,bundle
3,20260119-PICU-NIGHT-03,2026-01-19,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260119-Sedation-DAY-04,2026-01-19,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260120-PCICU-NIGHT-02,2026-01-20,PCICU,Night,16.0,,6.062467281810889,0.37890420511318057,individual
3,20260120-PICU-DAY-03,2026-01-20,PICU,Day,10.0,PICU_day_W04_full,9.399999999997673,0.9399999999997674,bundle
3,20260120-PICU-NIGHT-04,2026-01-20,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260120-Sedation-DAY-05,2026-01-20,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260120-Smilow-DAY-06,2026-01-20,Smilow,Day,4.0,,9.4,2.35,individual
3,20260121-PICU-DAY-02,2026-01-21,PICU,Day,10.0,PICU_day_W04_full,9.399999999997673,0.9399999999997674,bundle
3,20260121-PICU-NIGHT-03,2026-01-21,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260121-Sedation-DAY-04,2026-01-21,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260122-PICU-DAY-03,2026-01-22,PICU,Day,10.0,PICU_day_W04_full,9.399999999997673,0.9399999999997674,bundle
3,20260122-PICU-NIGHT-04,2026-01-22,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260122-Sedation-DAY-05,2026-01-22,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260123-PICU-DAY-02,2026-01-23,PICU,Day,10.0,PICU_day_W04_full,9.399999999997673,0.9399999999997674,bundle
3,20260123-PICU-NIGHT-03,2026-01-23,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260123-Sedation-DAY-04,2026-01-23,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260124-PCICU-24H-01,2026-01-24,PCICU,24h,10.0,PCICU_weekend_pair_W04,2.984702353482827,0.2984702353482827,bundle
3,20260124-PICU-24H-02,2026-01-24,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260125-PCICU-24H-01,2026-01-25,PCICU,24h,10.0,PCICU_weekend_pair_W04,2.984702353482827,0.2984702353482827,bundle
3,20260125-PICU-24H-02,2026-01-25,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260126-PICU-NIGHT-03,2026-01-26,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260126-Sedation-DAY-04,2026-01-26,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260127-PICU-NIGHT-04,2026-01-27,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260127-Sedation-DAY-05,2026-01-27,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260127-Smilow-DAY-06,2026-01-27,Smilow,Day,4.0,,9.4,2.35,individual
3,20260128-PICU-NIGHT-03,2026-01-28,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260128-Sedation-DAY-04,2026-01-28,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260129-PICU-NIGHT-04,2026-01-29,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260129-Sedation-DAY-05,2026-01-29,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260130-PICU-NIGHT-03,2026-01-30,PICU,Night,16.0,,7.677764928325736,0.4798603080203585,individual
3,20260130-Sedation-DAY-04,2026-01-30,Sedation,Day,9.0,,5.9,0.6555555555555556,individual
3,20260131-PCICU-24H-01,2026-01-31,PCICU,24h,10.0,PCICU_weekend_pair_W05,2.984702353482827,0.2984702353482827,bundle
3,20260131-PICU-24H-02,2026-01-31,PICU,24h,25.0,,4.599999999997674,0.183999999999907,individual
3,20260201-PCICU-24H-01,2026-02-01,PCICU,24h,10.0,PCICU_weekend_pair_W05,3.584702353482827,0.3584702353482827,bundle
3,20260201-PICU-24H-02,2026-02-01,PICU,24h,25.0,,5.199999999997674,0.20799999999990695,individual
3,20260202-PICU-DAY-02,2026-02-02,PICU,Day,10.0,PICU_day_W06_full,9.999999999997675,0.9999999999997675,bundle
3,20260202-PICU-NIGHT-03,2026-02-02,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260202-Sedation-DAY-04,2026-02-02,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
3,20260203-PICU-DAY-03,2026-02-03,PICU,Day,10.0,PICU_day_W06_full,9.999999999997675,0.9999999999997675,bundle
3,20260203-PICU-NIGHT-04,2026-02-03,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260203-Sedation-DAY-05,2026-02-03,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
3,20260203-Smilow-DAY-06,2026-02-03,Smilow,Day,4.0,,10.0,2.5,individual
3,20260204-PICU-DAY-02,2026-02-04,PICU,Day,10.0,PICU_day_W06_full,9.999999999997675,0.9999999999997675,bundle
3,20260204-PICU-NIGHT-03,2026-02-04,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260204-Sedation-DAY-04,2026-02-04,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
3,20260205-PICU-DAY-03,2026-02-05,PICU,Day,10.0,PICU_day_W06_full,9.999999999997675,0.9999999999997675,bundle
3,20260205-PICU-NIGHT-04,2026-02-05,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260205-Sedation-DAY-05,2026-02-05,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
3,20260206-PICU-DAY-02,2026-02-06,PICU,Day,10.0,PICU_day_W06_full,9.999999999997675,0.9999999999997675,bundle
3,20260206-PICU-NIGHT-03,2026-02-06,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260206-Sedation-DAY-04,2026-02-06,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
3,20260207-PCICU-24H-01,2026-02-07,PCICU,24h,10.0,PCICU_weekend_pair_W06,3.584702353482827,0.3584702353482827,bundle
3,20260207-PICU-24H-02,2026-02-07,PICU,24h,25.0,,5.199999999997674,0.20799999999990695,individual
3,20260208-PCICU-24H-01,2026-02-08,PCICU,24h,10.0,PCICU_weekend_pair_W06,3.584702353482827,0.3584702353482827,bundle
3,20260208-PICU-24H-02,2026-02-08,PICU,24h,25.0,,5.199999999997674,0.20799999999990695,individual
3,20260209-PICU-NIGHT-03,2026-02-09,PICU,Night,16.0,,8.277764928325736,0.5173603080203585,individual
3,20260209-Sedation-DAY-04,2026-02-09,Sedation,Day,9.0,,6.5,0.7222222222222222,individual
